step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig,test_loss,test_ppl,test_acc,test_ece,generalization_gap
740,2.497264,0.01,0.007759,sgd,42,331.6089,1.53100007e+02,3.66386956e-01,1.54624677e-01,1.00995865e-03,-2.02608945e-02,nan,2.50840941e+00,1.22853735e+01,3.02062988e-01,2.44786558e-02,1.11450016e-02
750,2.487255,0.01,0.007636,sgd,42,331.6089,1.51566926e+02,2.75389960e-01,1.53126479e-01,1.01028953e-03,-3.55767115e-02,2.74456332e+01,2.50469673e+00,1.22398464e+01,3.05480957e-01,2.35203730e-02,1.74421310e-02
760,2.485765,0.01,0.007339,sgd,42,331.6089,1.50049366e+02,3.85945638e-01,1.51505341e-01,1.00970330e-03,-1.69111006e-02,nan,2.50542176e+00,1.22487239e+01,3.05236816e-01,2.11857551e-02,1.96564436e-02
770,2.480952,0.01,0.007603,sgd,42,331.6089,1.48547056e+02,4.07196026e-01,1.49975385e-01,1.00961533e-03,-2.81055121e-02,nan,2.50658286e+00,1.22629541e+01,3.04321289e-01,2.33038414e-02,2.56310701e-02
780,2.491761,0.01,0.007625,sgd,42,331.6089,1.47059865e+02,3.66528938e-01,1.48491902e-01,1.00973778e-03,-2.17002478e-02,nan,2.50068420e+00,1.21908321e+01,3.04199219e-01,2.40511210e-02,8.92349482e-03
790,2.492166,0.01,0.007577,sgd,42,331.6089,1.45587728e+02,2.58968854e-01,1.47001278e-01,1.00970927e-03,-2.07939839e-02,nan,2.50128987e+00,1.21982180e+01,3.08593750e-01,2.37648486e-02,9.12435651e-03
800,2.446024,0.01,0.007690,sgd,42,331.6089,1.44130456e+02,4.33327592e-01,1.45498397e-01,1.00949099e-03,-1.34351846e-02,2.47269695e+01,2.49875414e+00,1.21673258e+01,3.05786133e-01,2.29228408e-02,5.27297735e-02
810,2.471542,0.01,0.007404,sgd,42,331.6089,1.42688003e+02,3.27858910e-01,1.44052537e-01,1.00956306e-03,-2.22561868e-02,nan,2.49860522e+00,1.21655139e+01,3.07434082e-01,2.09158459e-02,2.70633638e-02
820,2.450105,0.01,0.007481,sgd,42,331.6089,1.41260150e+02,3.50564232e-01,1.42601890e-01,1.00949836e-03,-1.96952982e-02,nan,2.49344608e+00,1.21029120e+01,3.08654785e-01,2.17401408e-02,4.33411300e-02
830,2.495727,0.01,0.007619,sgd,42,331.6089,1.39846555e+02,3.95399037e-01,1.41221675e-01,1.00983306e-03,-2.90579569e-02,nan,2.49307424e+00,1.20984124e+01,3.02673340e-01,2.67088146e-02,-2.65287161e-03
840,2.454696,0.01,0.007751,sgd,42,331.6089,1.38447185e+02,4.33464968e-01,1.39960334e-01,1.01092943e-03,-5.87586802e-02,nan,2.49109903e+00,1.20745391e+01,3.09997559e-01,2.03157826e-02,3.64032090e-02
850,2.473373,0.01,0.007611,sgd,42,331.6089,1.37061968e+02,2.67813532e-01,1.38360047e-01,1.00947075e-03,-2.79598181e-02,2.29818710e+01,2.49046129e+00,1.20668411e+01,3.06213379e-01,2.08078164e-02,1.70886397e-02
860,2.468379,0.01,0.007348,sgd,42,331.6089,1.35690812e+02,3.68382659e-01,1.36956316e-01,1.00932638e-03,-1.93292218e-02,nan,2.48949221e+00,1.20551531e+01,3.07434082e-01,2.06037947e-02,2.11129963e-02
870,2.455020,0.01,0.007588,sgd,42,331.6089,1.34333318e+02,3.18793524e-01,1.35570021e-01,1.00920623e-03,-1.63895355e-02,nan,2.48687449e+00,1.20236373e+01,3.07861328e-01,2.31212471e-02,3.18545163e-02
880,2.453197,0.01,0.007635,sgd,42,331.6089,1.32989654e+02,3.63217411e-01,1.34196666e-01,1.00907598e-03,-2.03589506e-02,nan,2.48406884e+00,1.19899505e+01,3.09509277e-01,1.75254415e-02,3.08719814e-02
890,2.459722,0.01,0.007629,sgd,42,331.6089,1.31659565e+02,3.31551527e-01,1.32857178e-01,1.00909628e-03,-4.27120589e-03,nan,2.48232868e+00,1.19691042e+01,3.08593750e-01,2.03202997e-02,2.26069033e-02
900,2.456611,0.01,0.008013,sgd,42,331.6089,1.30342765e+02,3.25021089e-01,1.31541202e-01,1.00919451e-03,7.24418221e-05,2.17004476e+01,2.48067087e+00,1.19492781e+01,3.08349609e-01,2.10006477e-02,2.40596175e-02
910,2.446226,0.01,0.007405,sgd,42,331.6089,1.29039236e+02,3.96461965e-01,1.30209922e-01,1.00907233e-03,-2.03119863e-02,nan,2.47872362e+00,1.19260325e+01,3.10485840e-01,2.00062714e-02,3.24972808e-02
920,2.455129,0.01,0.007766,sgd,42,331.6089,1.27748850e+02,2.84206147e-01,1.28894045e-01,1.00896442e-03,-1.54457873e-02,nan,2.48004502e+00,1.19418020e+01,3.09265137e-01,1.92475075e-02,2.49161601e-02
930,2.441197,0.01,0.007701,sgd,42,331.6089,1.26471735e+02,3.01241776e-01,1.27623665e-01,1.00910820e-03,-2.04409799e-02,nan,2.47503456e+00,1.18821178e+01,3.11950684e-01,2.02059295e-02,3.38374555e-02
940,2.477381,0.01,0.007610,sgd,42,331.6089,1.25207168e+02,2.82407809e-01,1.26315637e-01,1.00885309e-03,-1.29056530e-02,nan,2.47715715e+00,1.19073654e+01,3.11279297e-01,2.22519313e-02,-2.24131346e-04
950,2.437647,0.01,0.007594,sgd,42,331.6089,1.23955412e+02,2.70685130e-01,1.25043309e-01,1.00877651e-03,-1.55169047e-02,1.93937704e+01,2.47531837e+00,1.18854905e+01,3.09448242e-01,2.00929118e-02,3.76710534e-02
960,2.451561,0.01,0.007348,sgd,42,331.6089,1.22716323e+02,2.81268222e-01,1.23833345e-01,1.00910248e-03,-3.04859635e-02,nan,2.47451472e+00,1.18759426e+01,3.09875488e-01,1.98313787e-02,2.29537964e-02
970,2.458103,0.01,0.007614,sgd,42,331.6089,1.21489765e+02,2.58058193e-01,1.22568960e-01,1.00888302e-03,-2.56828702e-02,nan,2.47051489e+00,1.18285357e+01,3.13232422e-01,1.86520668e-02,1.24123096e-02
980,2.443137,0.01,0.007866,sgd,42,331.6089,1.20275641e+02,3.24775249e-01,1.21353021e-01,1.00895759e-03,-2.38116115e-02,nan,2.47204226e+00,1.18466161e+01,3.08959961e-01,2.22038471e-02,2.89053082e-02
990,2.464618,0.01,0.007492,sgd,42,331.6089,1.19073873e+02,4.21072044e-01,1.20178037e-01,1.00927293e-03,-3.95379985e-03,nan,2.46819928e+00,1.18011771e+01,3.13842773e-01,1.92219357e-02,3.58114839e-03
1000,2.462246,0.01,0.007639,sgd,42,331.6089,1.17884458e+02,2.84864397e-01,1.18958992e-01,1.00911515e-03,-2.72145501e-02,1.99802309e+01,2.46445701e+00,1.17570964e+01,3.12927246e-01,1.90347683e-02,2.21061110e-03
